訂單日期,訂單編號,SKU,品名,數量
2025-09-01,ORD-20250901-0001,SKU001,即食麵_01,22
2025-09-01,ORD-20250901-0001,SKU007,冷凍食品_01,7
2025-09-01,ORD-20250901-0001,SKU005,調味料_01,23
2025-09-01,ORD-20250901-0001,SKU049,清潔用品_05,8
2025-09-01,ORD-20250901-0002,SKU001,即食麵_01,11
2025-09-01,ORD-20250901-0002,SKU005,調味料_01,25
2025-09-01,ORD-20250901-0002,SKU022,飲料_03,10
2025-09-01,ORD-20250901-0002,SKU001,即食麵_01,18
2025-09-01,ORD-20250901-0003,SKU017,冷凍食品_02,18
2025-09-01,ORD-20250901-0003,SKU007,冷凍食品_01,15
2025-09-01,ORD-20250901-0003,SKU072,飲料_08,3
2025-09-01,ORD-20250901-0003,SKU053,零食_06,2
2025-09-01,ORD-20250901-0003,SKU003,零食_01,11
2025-09-01,ORD-20250901-0004,SKU002,飲料_01,19
2025-09-01,ORD-20250901-0004,SKU012,飲料_02,22
2025-09-01,ORD-20250901-0004,SKU011,即食麵_02,8
2025-09-01,ORD-20250901-0004,SKU010,紙品_01,17
2025-09-01,ORD-20250901-0004,SKU006,米麵_01,7
2025-09-01,ORD-20250901-0004,SKU001,即食麵_01,22
2025-09-01,ORD-20250901-0005,SKU065,調味料_07,2
2025-09-01,ORD-20250901-0005,SKU033,零食_04,6
2025-09-01,ORD-20250901-0005,SKU071,即食麵_08,1
2025-09-01,ORD-20250901-0005,SKU029,清潔用品_03,5
2025-09-01,ORD-20250901-0005,SKU045,調味料_05,3
2025-09-01,ORD-20250901-0005,SKU001,即食麵_01,17
2025-09-01,ORD-20250901-0006,SKU017,冷凍食品_02,25
2025-09-01,ORD-20250901-0006,SKU065,調味料_07,1
2025-09-01,ORD-20250901-0006,SKU003,零食_01,24
2025-09-01,ORD-20250901-0006,SKU011,即食麵_02,25
2025-09-01,ORD-20250901-0006,SKU040,紙品_04,4
2025-09-01,ORD-20250901-0006,SKU044,罐頭_05,10
2025-09-01,ORD-20250901-0007,SKU006,米麵_01,6
2025-09-01,ORD-20250901-0007,SKU018,個人保養_02,15
2025-09-01,ORD-20250901-0007,SKU007,冷凍食品_01,17
2025-09-01,ORD-20250901-0007,SKU084,罐頭_09,3
2025-09-01,ORD-20250901-0007,SKU042,飲料_05,3
2025-09-01,ORD-20250901-0007,SKU005,調味料_01,11
2025-09-01,ORD-20250901-0007,SKU009,清潔用品_01,23
2025-09-01,ORD-20250901-0007,SKU054,罐頭_06,3
2025-09-01,ORD-20250901-0007,SKU001,即食麵_01,11
2025-09-01,ORD-20250901-0008,SKU021,即食麵_03,11
2025-09-01,ORD-20250901-0008,SKU075,調味料_08,4
2025-09-01,ORD-20250901-0008,SKU036,米麵_04,7
2025-09-01,ORD-20250901-0008,SKU003,零食_01,12
2025-09-01,ORD-20250901-0008,SKU003,零食_01,9
2025-09-01,ORD-20250901-0008,SKU051,即食麵_06,5
2025-09-01,ORD-20250901-0008,SKU025,調味料_03,9
2025-09-01,ORD-20250901-0008,SKU051,即食麵_06,1
2025-09-01,ORD-20250901-0008,SKU016,米麵_02,6
2025-09-01,ORD-20250901-0009,SKU003,零食_01,17
2025-09-01,ORD-20250901-0009,SKU003,零食_01,17
2025-09-01,ORD-20250901-0009,SKU041,即食麵_05,11
2025-09-01,ORD-20250901-0009,SKU031,即食麵_04,9
2025-09-01,ORD-20250901-0010,SKU006,米麵_01,15
2025-09-01,ORD-20250901-0010,SKU026,米麵_03,3
2025-09-01,ORD-20250901-0010,SKU087,冷凍食品_09,3
2025-09-01,ORD-20250901-0010,SKU041,即食麵_05,8
2025-09-01,ORD-20250901-0010,SKU002,飲料_01,10
2025-09-01,ORD-20250901-0010,SKU075,調味料_08,4
2025-09-01,ORD-20250901-0010,SKU051,即食麵_06,1
2025-09-01,ORD-20250901-0010,SKU054,罐頭_06,3
2025-09-01,ORD-20250901-0011,SKU053,零食_06,2
2025-09-01,ORD-20250901-0011,SKU022,飲料_03,10
2025-09-01,ORD-20250901-0011,SKU002,飲料_01,21
2025-09-01,ORD-20250901-0011,SKU034,罐頭_04,2
2025-09-01,ORD-20250901-0011,SKU067,冷凍食品_07,5
2025-09-01,ORD-20250901-0011,SKU022,飲料_03,7
2025-09-01,ORD-20250901-0011,SKU004,罐頭_01,20
2025-09-01,ORD-20250901-0011,SKU012,飲料_02,5
2025-09-01,ORD-20250901-0012,SKU084,罐頭_09,1
2025-09-01,ORD-20250901-0012,SKU074,罐頭_08,2
2025-09-01,ORD-20250901-0012,SKU065,調味料_07,5
2025-09-01,ORD-20250901-0012,SKU008,個人保養_01,7
2025-09-01,ORD-20250901-0013,SKU049,清潔用品_05,4
2025-09-01,ORD-20250901-0013,SKU062,飲料_07,2
2025-09-01,ORD-20250901-0013,SKU095,調味料_10,4
2025-09-01,ORD-20250901-0013,SKU024,罐頭_03,10
2025-09-01,ORD-20250901-0014,SKU006,米麵_01,11
2025-09-01,ORD-20250901-0014,SKU073,零食_08,3
2025-09-01,ORD-20250901-0014,SKU015,調味料_02,17
2025-09-01,ORD-20250901-0014,SKU005,調味料_01,25
2025-09-01,ORD-20250901-0014,SKU025,調味料_03,7
2025-09-01,ORD-20250901-0015,SKU078,個人保養_08,1
2025-09-01,ORD-20250901-0015,SKU017,冷凍食品_02,7
2025-09-01,ORD-20250901-0015,SKU006,米麵_01,25
2025-09-01,ORD-20250901-0015,SKU001,即食麵_01,6
2025-09-01,ORD-20250901-0015,SKU001,即食麵_01,12
2025-09-01,ORD-20250901-0015,SKU026,米麵_03,3
2025-09-01,ORD-20250901-0015,SKU030,紙品_03,2
2025-09-01,ORD-20250901-0016,SKU001,即食麵_01,23
2025-09-01,ORD-20250901-0016,SKU005,調味料_01,23
2025-09-01,ORD-20250901-0016,SKU040,紙品_04,9
2025-09-01,ORD-20250901-0016,SKU005,調味料_01,12
2025-09-01,ORD-20250901-0016,SKU002,飲料_01,20
2025-09-01,ORD-20250901-0016,SKU086,米麵_09,4
2025-09-01,ORD-20250901-0017,SKU002,飲料_01,6
2025-09-01,ORD-20250901-0017,SKU038,個人保養_04,12
2025-09-01,ORD-20250901-0017,SKU011,即食麵_02,25
2025-09-01,ORD-20250901-0017,SKU014,罐頭_02,25
2025-09-01,ORD-20250901-0017,SKU071,即食麵_08,1
2025-09-01,ORD-20250901-0018,SKU014,罐頭_02,11
2025-09-01,ORD-20250901-0018,SKU010,紙品_01,22
2025-09-01,ORD-20250901-0018,SKU071,即食麵_08,4
2025-09-01,ORD-20250901-0018,SKU006,米麵_01,9
2025-09-01,ORD-20250901-0019,SKU004,罐頭_01,25
2025-09-01,ORD-20250901-0019,SKU018,個人保養_02,22
2025-09-01,ORD-20250901-0019,SKU073,零食_08,1
2025-09-01,ORD-20250901-0019,SKU001,即食麵_01,7
2025-09-01,ORD-20250901-0019,SKU061,即食麵_07,2
2025-09-01,ORD-20250901-0019,SKU070,紙品_07,2
2025-09-01,ORD-20250901-0019,SKU002,飲料_01,18
2025-09-01,ORD-20250901-0020,SKU020,紙品_02,19
2025-09-01,ORD-20250901-0020,SKU071,即食麵_08,3
2025-09-01,ORD-20250901-0020,SKU079,清潔用品_08,4
