銷售單號,SKU,客戶,出貨量,出貨日
SO-20250601-00001,S-1001,C-002,2,2025-06-01
SO-20250601-00002,S-1001,C-018,2,2025-06-01
SO-20250601-00003,S-1001,C-012,2,2025-06-01
SO-20250601-00004,S-1001,C-031,3,2025-06-01
SO-20250601-00005,S-1002,C-031,5,2025-06-01
SO-20250601-00006,S-1002,C-008,6,2025-06-01
SO-20250601-00007,S-1002,C-012,6,2025-06-01
SO-20250601-00008,S-1002,C-022,4,2025-06-01
SO-20250601-00009,S-1003,C-037,6,2025-06-01
SO-20250601-00010,S-1003,C-029,3,2025-06-01
SO-20250601-00011,S-1003,C-004,2,2025-06-01
SO-20250601-00012,S-1003,C-021,5,2025-06-01
SO-20250601-00013,S-1004,C-023,5,2025-06-01
SO-20250601-00014,S-1005,C-020,2,2025-06-01
SO-20250601-00015,S-1011,C-031,5,2025-06-01
SO-20250601-00016,S-1011,C-011,3,2025-06-01
SO-20250601-00017,S-1011,C-019,9,2025-06-01
SO-20250601-00018,S-1011,C-007,1,2025-06-01
SO-20250601-00019,S-1011,C-025,4,2025-06-01
SO-20250601-00020,S-1012,C-030,1,2025-06-01
SO-20250601-00021,S-1012,C-007,1,2025-06-01
SO-20250601-00022,S-1013,C-027,2,2025-06-01
SO-20250601-00023,S-1014,C-014,4,2025-06-01
SO-20250601-00024,S-1015,C-020,3,2025-06-01
SO-20250601-00025,S-1016,C-014,4,2025-06-01
SO-20250601-00026,S-1017,C-002,4,2025-06-01
SO-20250601-00027,S-1019,C-037,1,2025-06-01
SO-20250601-00028,S-1019,C-028,5,2025-06-01
SO-20250601-00029,S-1020,C-028,2,2025-06-01
SO-20250601-00030,S-1020,C-023,4,2025-06-01
SO-20250601-00031,S-1020,C-028,4,2025-06-01
SO-20250601-00032,S-1020,C-033,7,2025-06-01
SO-20250601-00033,S-1021,C-025,3,2025-06-01
SO-20250601-00034,S-1021,C-040,1,2025-06-01
SO-20250601-00035,S-1021,C-015,1,2025-06-01
SO-20250601-00036,S-1021,C-008,1,2025-06-01
SO-20250601-00037,S-1021,C-035,4,2025-06-01
SO-20250601-00038,S-1022,C-002,3,2025-06-01
SO-20250601-00039,S-1022,C-012,8,2025-06-01
SO-20250601-00040,S-1022,C-004,4,2025-06-01
SO-20250601-00041,S-1023,C-015,3,2025-06-01
SO-20250601-00042,S-1024,C-021,7,2025-06-01
SO-20250601-00043,S-1024,C-040,5,2025-06-01
SO-20250601-00044,S-1025,C-018,5,2025-06-01
SO-20250601-00045,S-1026,C-007,4,2025-06-01
SO-20250601-00046,S-1026,C-012,9,2025-06-01
SO-20250601-00047,S-1026,C-009,2,2025-06-01
SO-20250601-00048,S-1028,C-037,2,2025-06-01
SO-20250601-00049,S-1029,C-029,4,2025-06-01
SO-20250601-00050,S-1030,C-013,2,2025-06-01
SO-20250601-00051,S-1030,C-013,2,2025-06-01
