訂單編號,路線代碼,司機代碼,預計到達,實際到達,客戶時窗起,客戶時窗迄,貨損旗標,客戶緯度,客戶經度
DLV-20250901-00001,R-01,D-01,2025-09-01 13:15:00,2025-09-01 14:16:00,2025-09-01 11:55:00,2025-09-01 14:35:00,0,24.09754,120.6525
DLV-20250901-00002,R-01,D-01,2025-09-01 17:38:00,2025-09-01 18:26:00,2025-09-01 16:23:00,2025-09-01 18:53:00,0,24.15228,120.70111
DLV-20250901-00003,R-01,D-07,2025-09-01 12:28:00,2025-09-01 12:11:44,2025-09-01 12:13:00,2025-09-01 12:43:00,0,24.10777,120.67881
DLV-20250901-00004,R-01,D-07,2025-09-01 11:13:00,2025-09-01 11:31:33,2025-09-01 10:56:00,2025-09-01 11:30:00,0,24.12372,120.67252
DLV-20250901-00005,R-01,D-07,2025-09-01 09:46:00,2025-09-01 09:51:02,2025-09-01 09:19:00,2025-09-01 10:13:00,0,24.11845,120.69529
DLV-20250901-00006,R-01,D-07,2025-09-01 18:12:00,2025-09-01 18:27:11,2025-09-01 17:55:00,2025-09-01 18:29:00,0,24.16432,120.67541
DLV-20250901-00007,R-01,D-07,2025-09-01 19:53:00,2025-09-01 20:19:21,2025-09-01 19:32:00,2025-09-01 20:14:00,0,24.15115,120.69968
DLV-20250901-00008,R-01,D-01,2025-09-01 18:40:00,2025-09-01 19:04:19,2025-09-01 18:20:00,2025-09-01 19:00:00,0,24.1166,120.71903
DLV-20250901-00009,R-01,D-11,2025-09-01 17:14:00,2025-09-01 17:04:46,2025-09-01 16:58:00,2025-09-01 17:30:00,0,24.09757,120.67024
DLV-20250901-00010,R-01,D-07,2025-09-01 10:13:00,2025-09-01 10:10:41,2025-09-01 09:48:00,2025-09-01 10:38:00,0,24.13494,120.71577
DLV-20250901-00011,R-01,D-11,2025-09-01 16:09:00,2025-09-01 16:00:56,2025-09-01 15:46:00,2025-09-01 16:32:00,0,24.1546,120.68812
DLV-20250901-00012,R-01,D-11,2025-09-01 18:27:00,2025-09-01 18:41:40,2025-09-01 18:05:00,2025-09-01 18:49:00,0,24.10607,120.68448
DLV-20250901-00013,R-01,D-01,2025-09-01 10:09:00,2025-09-01 09:54:11,2025-09-01 09:41:00,2025-09-01 10:37:00,0,24.12578,120.69267
DLV-20250901-00014,R-01,D-07,2025-09-01 17:16:00,2025-09-01 17:26:21,2025-09-01 17:01:00,2025-09-01 17:31:00,0,24.10416,120.71578
DLV-20250901-00015,R-01,D-07,2025-09-01 19:21:00,2025-09-01 19:44:40,2025-09-01 18:52:00,2025-09-01 19:50:00,1,24.15277,120.70257
DLV-20250901-00016,R-01,D-11,2025-09-01 11:32:00,2025-09-01 11:52:41,2025-09-01 11:08:00,2025-09-01 11:56:00,0,24.13561,120.66091
DLV-20250901-00017,R-01,D-07,2025-09-01 11:34:00,2025-09-01 11:48:39,2025-09-01 11:19:00,2025-09-01 11:49:00,0,24.13409,120.65395
DLV-20250901-00018,R-01,D-07,2025-09-01 13:15:00,2025-09-01 13:32:31,2025-09-01 12:58:00,2025-09-01 13:32:00,0,24.13388,120.65054
